,src0,src1,dst,Instruction,Family,Coprocessor number,,,,,,,,,,,N/A,,,,,,,,,,,,,Hardware,,,,,,,,,,Software,,,,,,,,,,,Software Temp,,,,,Hardware Temp,Operand Width,,Operand width,Instruction number,
,,,,,,2,1,0,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,,,Operand width,Instruction,Src0,Src1,Dest,cpsize,Swzsel,,,COPRO_INST,Extension bit,Opcode1,Opcode2,Src0,Src1,Dest,swzsel,,Extension bit,Opcode1,,Opcode2,,,,Decimal,Hex,,Decimal,Hex
Operand width,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPINST[20],CPINST[19:18],CPINST[17],,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SET_RELU,Control instruction,0,Rm,Rm,0,0,0,1,,,,,,Rm,Rm,Rm,Rm,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,SET_RELU,1'h0,2'h0,1'h1,,,,1'b0,,,SET_RELU,MCR,1'h0,3'h1,3'h0,,,,,1'h,0,1,1,0,0,,2'h,0,0,1'h,1,1
,,,,SET_SWZSEL_REG_SEL,Control instruction,0,Rm,Rm,0,0,1,swzsel,,swzsel,swzsel,swzsel,,Rm,Rm,Rm,Rm,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,SET_SWZSEL_REG_SEL,1'h0,2'h1,,,,,1'b0,"17,15,14,13",,SET_SWZSEL_REG_SEL,MCR,1'h0,"2'b1,swzsel[3]",swzsel[2:0],,,,"op1[0],op2[2:0]",1'h,0,,,,,,2'h,1,1,1'h,,
,,,,SET_PLE_LANE_SEL,Control instruction,0,,,1,0,0,0,,,,,,,,,,,,,,,,,,SET_PLE_LANE_SEL,1'h1,2'h4,1'h0,,,,1'b0,,,SET_PLE_LANE_SEL,MCR2,1'h1,3'h0,3'h0,,,,,1'h,1,0,0,0,0,,2'h,4,4,1'h,0,0
Operand width,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,REGREP.8,Move and format instruction,0,,Rm,0,1,0,0,,,,,,,,,,,,,,Rm,Rm,Rm,Rm,REGREP.8,1'h0,2'h2,1'h0,,,"CPNUM[0],CPINST[3:0]",1'b0,,,REGREP.8,MCR,1'h0,3'h4,3'h0,,,"CPNUM[0],CRm[3:0]",,1'h,0,4,4,,,,2'h,2,2,1'h,0,0
,,,,REGREPADD.8,Arithmetic instruction,0,Rn,Rm,0,1,0,1,,,,,,Rn,Rn,Rn,Rn,,,,,Rm,Rm,Rm,Rm,REGREPADD.8,1'h0,2'h2,1'h1,"CPNUM[1], CRn[3:0]",,"CPNUM[0],CPINST[3:0]",1'b0,,,REGREPADD.8,MCR,1'h0,3'h5,3'h0,"CPNUM[1], CRn[3:0]",,"CPNUM[0],CRm[3:0]",,1'h,0,5,5,,,,2'h,2,2,1'h,1,1
,,,,REGREPRSB.8,Arithmetic instruction,0,Rn,Rm,1,0,1,0,,,,,,Rn,Rn,Rn,Rn,,,,,Rm,Rm,Rm,Rm,REGREPRSB.8,1'h1,2'h5,1'h0,"CPNUM[1], CRn[3:0]",,"CPNUM[0],CPINST[3:0]",1'b0,,,REGREPRSB.8,MCR2,1'h1,3'h2,3'h0,"CPNUM[1], CRn[3:0]",,"CPNUM[0],CRm[3:0]",,1'h,1,2,2,,,,2'h,5,5,1'h,0,0
,,,,REGREPRSBS.8,Arithmetic instruction,0,Rn,Rm,1,0,1,1,,,,,,Rn,Rn,Rn,Rn,,,,,Rm,Rm,Rm,Rm,REGREPRSBS.8,1'h1,2'h5,1'h1,"CPNUM[1], CRn[3:0]",,"CPNUM[0],CPINST[3:0]",1'b0,,,REGREPRSBS.8,MCR2,1'h1,3'h3,3'h0,"CPNUM[1], CRn[3:0]",,"CPNUM[0],CRm[3:0]",,1'h,1,3,3,,,,2'h,5,5,1'h,1,1
Operand width,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,REGREP.16,Move and format instruction,0,,Rm,0,1,1,0,,,,,,,,,,,,,,Rm,Rm,Rm,Rm,REGREP.16,1'h0,2'h3,1'h0,,,"CPNUM[0],CPINST[3:0]",1'b0,,,REGREP.16,MCR,1'h0,3'h6,3'h0,,,"CPNUM[0],CRm[3:0]",,1'h,0,6,6,,,,2'h,3,3,1'h,0,0
,,,,REGREPADD.16,Arithmetic instruction,0,Rn,Rm,0,1,1,1,,,,,,Rn,Rn,Rn,Rn,,,,,Rm,Rm,Rm,Rm,REGREPADD.16,1'h0,2'h3,1'h1,"CPNUM[1], CRn[3:0]",,"CPNUM[0],CPINST[3:0]",1'b0,,,REGREPADD.16,MCR,1'h0,3'h7,3'h0,"CPNUM[1], CRn[3:0]",,"CPNUM[0],CRm[3:0]",,1'h,0,7,7,,,,2'h,3,3,1'h,1,1
,,,,REGREPRSB.16,Arithmetic instruction,0,Rn,Rm,1,1,0,0,,,,,,Rn,Rn,Rn,Rn,,,,,Rm,Rm,Rm,Rm,REGREPRSB.16,1'h1,2'h6,1'h0,"CPNUM[1], CRn[3:0]",,"CPNUM[0],CPINST[3:0]",1'b0,,,REGREPRSB.16,MCR2,1'h1,3'h4,3'h0,"CPNUM[1], CRn[3:0]",,"CPNUM[0],CRm[3:0]",,1'h,1,4,4,,,,2'h,6,6,1'h,0,0
,,,,REGREPRSBS.16,Arithmetic instruction,0,Rn,Rm,1,1,0,1,,,,,,Rn,Rn,Rn,Rn,,,,,Rm,Rm,Rm,Rm,REGREPRSBS.16,1'h1,2'h6,1'h1,"CPNUM[1], CRn[3:0]",,"CPNUM[0],CPINST[3:0]",1'b0,,,REGREPRSBS.16,MCR2,1'h1,3'h5,3'h0,"CPNUM[1], CRn[3:0]",,"CPNUM[0],CRm[3:0]",,1'h,1,5,5,,,,2'h,6,6,1'h,1,1
Operand width,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SET_SWZSEL_SUBREG_SEL,Control instruction,0,Rn,Rm,0,,,,,swzsel,swzsel,swzsel,swzsel,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,SET_SWZSEL_SUBREG_SEL,1'h0,,,,,,1'b1,"15,14,13,12",,SET_SWZSEL_SUBREG_SEL,MCRR,1'h0,swzsel[3:0],,,,,op1[3:0],,,,,,,,,,,,,
